,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr
0,private,Employee use only,,,2020-04-08,,ELEC,Private,94801,2017-09-27,P,E,,Office Building,,2021-03-11T23:22:17Z,OFFICE_BLDG,200-8,34.005461,-118.22871,Vernon,,,CA,2503 Vernon Ave,90058,US,,,,,,,,,,,,['J1772'],,,6,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,
1,private,,,,2020-04-08,,ELEC,Private,123189,2019-04-01,P,E,,CRL Manufacturing,,2021-03-11T23:22:17Z,OFFICE_BLDG,GPS,34.007216,-118.2357663,Vernon,,,CA,2100 E 38th St,90058,US,,,,,,,,,,,,['J1772'],,,2,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,
2,private,Also accepts Paypal,,A D M V,2020-10-09,,ELEC,Private,166654,2018-12-23,P,E,,Independent Electric Vehicles,,2021-03-11T23:22:17Z,OFFICE_BLDG,GPS,33.9981423,-118.2196046,Vernon,,,CA,5001 S Soto St,90058,US,,,,,,,,,,,,['J1772'],,,6,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,
3,private,Contact station for hours of availability,,,2023-02-13,,ELEC,Private,251380,2022-11-23,P,E,,Edgemine Inc,,2023-02-14T15:54:11Z,OTHER,GPS,33.9984159,-118.2418808,Los Angeles,,,CA,1801 E 50th St,90058,US,,,,,,,,,,,,['J1772'],,,3,AMPUP,https://ampup.io/,,,,,,,,,,,,,,,,,,,,,,,,Privé,
